Date,Price,Open,High,Low,Vol.,Change %
2018-09-25,1794.47,1798.14,1800.87,1794.47,107.04M,-0.32%
2018-09-24,1800.17,1809.23,1812.19,1797.35,91.38M,-0.58%
2018-09-21,1810.64,1811.68,1813.53,1809.44,319.99M,0.38%
2018-09-20,1803.70,1804.01,1810.21,1803.06,135.66M,0.17%
2018-09-19,1800.71,1794.72,1805.65,1794.61,118.65M,0.43%
2018-09-18,1792.94,1791.86,1797.97,1788.52,130.73M,-0.60%
2018-09-14,1803.76,1790.56,1804.89,1789.60,150.36M,0.62%
2018-09-13,1792.60,1786.95,1792.96,1777.45,170.22M,0.41%
2018-09-12,1785.25,1810.19,1822.68,1780.91,200.37M,-0.77%
2018-09-07,1799.17,1801.28,1802.12,1795.29,99.93M,0.03%
2018-09-06,1798.57,1795.82,1802.60,1794.79,118.42M,0.17%
2018-09-05,1795.50,1805.34,1807.92,1795.50,172.92M,-0.95%
2018-09-04,1812.76,1812.75,1813.94,1809.24,90.85M,-0.05%
2018-09-03,1813.58,1821.06,1822.52,1809.57,84.33M,-0.33%
2018-08-30,1819.66,1821.54,1823.24,1817.83,174.72M,-0.05%
2018-08-29,1820.64,1821.86,1822.43,1815.74,156.09M,-0.34%
2018-08-28,1826.90,1811.39,1826.90,1811.13,131.85M,0.84%
2018-08-27,1811.60,1807.60,1814.78,1804.89,108.23M,0.17%
2018-08-24,1808.59,1806.35,1808.59,1798.84,86.22M,-0.13%
2018-08-23,1810.87,1801.60,1810.87,1799.57,128.18M,0.71%
2018-08-21,1798.11,1790.25,1798.11,1788.86,119.27M,0.59%
2018-08-20,1787.58,1784.43,1791.14,1782.74,86.34M,0.23%
2018-08-17,1783.47,1780.64,1785.03,1780.26,106.45M,0.35%
2018-08-16,1777.27,1782.12,1782.28,1773.74,103.52M,-0.49%
2018-08-15,1785.94,1784.58,1789.05,1783.58,107.25M,0.12%
2018-08-14,1783.78,1779.79,1788.34,1778.20,136.27M,0.02%
2018-08-13,1783.34,1803.65,1804.41,1782.70,160.41M,-1.24%
2018-08-10,1805.75,1804.27,1812.69,1804.09,121.36M,0.04%
2018-08-09,1804.95,1803.54,1811.29,1803.00,116.67M,0.01%
2018-08-08,1804.73,1793.16,1804.73,1793.11,144.58M,0.76%
2018-08-07,1791.09,1784.34,1791.98,1782.22,126.33M,0.64%
2018-08-06,1779.75,1781.76,1782.19,1777.78,90.02M,-0.02%
2018-08-03,1780.09,1782.74,1782.77,1773.89,93.08M,0.11%
2018-08-02,1778.13,1788.31,1788.31,1775.85,109.62M,-0.57%
2018-08-01,1788.31,1777.85,1788.31,1777.58,107.86M,0.23%
2018-07-31,1784.25,1768.23,1784.25,1764.21,207.73M,0.79%
2018-07-30,1770.26,1767.59,1770.47,1764.28,108.14M,0.06%
2018-07-27,1769.14,1764.06,1769.14,1760.25,115.18M,0.16%
2018-07-26,1766.23,1768.32,1769.22,1762.15,144.19M,0.14%
2018-07-25,1763.78,1760.95,1766.05,1760.77,103.28M,0.05%
2018-07-24,1762.93,1757.54,1764.57,1756.90,112.76M,0.28%
2018-07-23,1757.96,1753.14,1760.84,1749.95,82.61M,0.19%
2018-07-20,1754.67,1758.51,1758.63,1749.52,111.67M,-0.26%
2018-07-19,1759.24,1754.19,1764.15,1754.18,152.83M,0.35%
2018-07-18,1753.07,1733.89,1753.07,1730.38,123.98M,0.91%
2018-07-17,1737.28,1727.04,1737.28,1726.04,108.40M,0.61%
2018-07-16,1726.67,1722.65,1726.67,1717.17,113.71M,0.28%
2018-07-13,1721.93,1710.67,1721.93,1706.61,153.63M,1.08%
2018-07-12,1703.57,1689.29,1704.87,1686.14,137.65M,0.88%
2018-07-11,1688.77,1683.05,1689.34,1679.18,96.64M,0.10%
2018-07-10,1687.13,1675.05,1687.13,1675.05,104.68M,0.87%
2018-07-09,1672.63,1663.96,1674.61,1662.58,104.21M,0.53%
2018-07-06,1663.86,1694.52,1694.81,1663.86,136.62M,-1.58%
2018-07-05,1690.65,1690.22,1691.62,1682.35,82.24M,0.13%
2018-07-04,1688.45,1682.96,1690.56,1680.61,117.84M,0.48%
2018-07-03,1680.37,1684.73,1689.91,1674.11,120.49M,-0.28%
2018-07-02,1685.05,1694.93,1697.15,1677.33,115.07M,-0.38%
2018-06-29,1691.50,1665.04,1701.65,1664.69,219.97M,1.55%
2018-06-28,1665.68,1659.17,1670.85,1657.78,113.96M,-0.02%
2018-06-27,1666.08,1674.24,1681.44,1666.08,135.77M,-0.58%
2018-06-26,1675.86,1679.24,1681.54,1673.26,135.52M,-0.13%
2018-06-25,1678.10,1707.02,1707.02,1678.10,137.71M,-0.95%
2018-06-22,1694.15,1682.97,1699.95,1678.03,169.63M,0.11%
2018-06-21,1692.32,1710.44,1710.71,1681.89,230.01M,-1.02%
2018-06-20,1709.75,1719.66,1728.69,1709.75,134.15M,-0.33%
2018-06-19,1715.36,1738.20,1739.25,1715.36,174.79M,-1.61%
2018-06-18,1743.43,1745.58,1748.67,1735.30,148.92M,-1.04%
2018-06-14,1761.78,1750.91,1762.22,1745.45,300.41M,-0.10%
2018-06-13,1763.57,1761.56,1764.50,1755.38,127.20M,-0.03%
2018-06-12,1764.16,1774.85,1776.10,1764.16,133.39M,-0.66%
2018-06-11,1775.80,1774.42,1788.16,1770.83,127.26M,-0.14%
2018-06-08,1778.32,1787.90,1789.20,1772.90,136.09M,-0.42%
2018-06-07,1785.81,1779.97,1801.42,1778.23,204.27M,0.49%
2018-06-06,1777.13,1753.66,1778.47,1751.03,195.29M,1.25%
2018-06-05,1755.14,1754.19,1756.77,1747.76,190.15M,0.00%
2018-06-04,1755.17,1761.61,1761.61,1745.75,196.15M,-0.07%
2018-06-01,1756.38,1739.93,1760.46,1737.72,197.07M,0.91%
2018-05-31,1740.62,1731.65,1754.44,1725.16,757.57M,1.24%
2018-05-30,1719.28,1759.56,1759.56,1709.51,368.57M,-3.18%
2018-05-28,1775.84,1793.45,1793.54,1774.40,163.54M,-1.20%
2018-05-25,1797.40,1792.80,1797.81,1785.12,222.82M,1.22%
2018-05-24,1775.66,1808.32,1809.90,1768.18,278.79M,-1.58%
2018-05-23,1804.25,1843.40,1843.40,1804.25,232.73M,-2.21%
2018-05-22,1845.03,1854.61,1854.61,1844.07,159.51M,-0.46%
2018-05-21,1853.58,1858.31,1864.94,1851.68,200.00M,-0.05%
2018-05-18,1854.50,1858.62,1862.19,1853.57,191.42M,0.00%
2018-05-17,1854.44,1864.78,1867.09,1854.44,201.65M,-0.21%
2018-05-16,1858.26,1851.83,1862.35,1841.83,174.58M,0.54%
2018-05-15,1848.20,1857.22,1860.59,1848.20,250.87M,-0.12%
2018-05-14,1850.42,1814.45,1876.62,1797.14,414.93M,0.21%
2018-05-08,1846.51,1819.95,1851.73,1819.28,185.27M,1.00%
2018-05-07,1828.20,1842.56,1842.56,1821.79,131.56M,-0.74%
2018-05-04,1841.83,1851.24,1852.75,1841.83,147.67M,-0.54%
2018-05-03,1851.80,1848.63,1856.92,1847.10,142.26M,-0.01%
2018-05-02,1852.03,1859.46,1860.82,1842.56,160.91M,-0.98%
2018-04-30,1870.37,1860.84,1873.39,1860.25,113.05M,0.37%
2018-04-27,1863.47,1864.24,1866.88,1856.59,113.82M,0.60%
2018-04-26,1852.27,1856.19,1863.57,1846.54,119.91M,0.02%
2018-04-25,1851.93,1863.48,1863.75,1850.28,112.88M,-0.72%
2018-04-24,1865.34,1883.75,1885.32,1865.34,132.71M,-0.80%
2018-04-23,1880.36,1890.46,1891.59,1878.37,83.68M,-0.39%
2018-04-20,1887.75,1895.55,1896.03,1883.82,123.82M,-0.39%
2018-04-19,1895.18,1888.83,1895.18,1883.65,173.95M,0.84%
2018-04-18,1879.32,1883.99,1884.84,1873.11,102.63M,-0.06%
2018-04-17,1880.49,1874.11,1885.12,1873.09,153.84M,0.09%
2018-04-16,1878.76,1868.69,1878.76,1867.21,100.15M,0.55%
2018-04-13,1868.47,1867.29,1871.13,1866.02,112.50M,-0.27%
2018-04-12,1873.62,1872.13,1873.62,1865.14,99.90M,0.20%
2018-04-11,1869.89,1863.30,1871.73,1863.30,141.26M,0.48%
2018-04-10,1860.98,1847.53,1860.98,1846.78,135.95M,0.61%
2018-04-09,1849.71,1837.68,1850.01,1833.14,109.44M,0.69%
2018-04-06,1837.01,1839.05,1839.07,1826.32,89.89M,0.05%
2018-04-05,1836.13,1824.46,1838.81,1824.42,103.33M,1.11%
2018-04-04,1815.94,1846.77,1851.74,1811.56,135.78M,-1.88%
2018-04-03,1850.78,1853.50,1858.78,1849.08,80.70M,-0.41%
2018-04-02,1858.35,1863.06,1864.17,1857.44,71.80M,-0.27%
2018-03-30,1863.46,1859.37,1866.35,1856.30,108.06M,0.38%
2018-03-29,1856.35,1859.34,1860.56,1854.50,123.71M,-0.08%
2018-03-28,1857.87,1858.53,1861.25,1855.12,98.90M,-0.25%
2018-03-27,1862.45,1862.15,1867.11,1861.56,95.70M,0.14%
2018-03-26,1859.91,1860.88,1862.41,1852.55,85.54M,-0.28%
2018-03-23,1865.22,1860.58,1867.16,1857.26,120.22M,-0.62%
2018-03-22,1876.87,1865.83,1876.87,1865.83,108.29M,0.59%
2018-03-21,1865.80,1859.53,1865.80,1856.84,145.43M,0.51%
2018-03-20,1856.39,1845.49,1856.39,1841.47,120.04M,0.46%
2018-03-19,1847.94,1846.92,1850.16,1845.45,80.54M,0.08%
2018-03-16,1846.39,1843.48,1851.75,1838.40,267.71M,0.06%
2018-03-15,1845.27,1854.12,1854.12,1845.27,124.08M,-0.63%
2018-03-14,1857.06,1862.49,1863.67,1855.14,87.68M,-0.37%
2018-03-13,1864.03,1855.08,1864.31,1853.97,93.26M,0.15%
2018-03-12,1861.22,1851.66,1861.23,1850.62,128.19M,0.94%
2018-03-09,1843.92,1842.10,1844.98,1840.18,97.85M,0.23%
2018-03-08,1839.62,1838.30,1846.67,1838.30,119.20M,0.09%
2018-03-07,1837.90,1847.02,1848.85,1834.66,171.96M,-0.57%
2018-03-06,1848.37,1848.18,1850.18,1845.76,155.25M,0.31%
2018-03-05,1842.62,1853.75,1853.75,1840.04,131.28M,-0.72%
2018-03-02,1856.07,1857.81,1860.64,1854.25,143.86M,-0.26%
2018-03-01,1860.86,1852.56,1862.81,1851.51,129.82M,0.25%
2018-02-28,1856.20,1871.40,1872.02,1856.20,242.49M,-0.82%
2018-02-27,1871.46,1867.15,1872.35,1865.79,169.21M,0.61%
2018-02-26,1860.08,1864.21,1867.98,1859.98,150.00M,-0.08%
2018-02-23,1861.50,1853.66,1864.95,1853.66,145.33M,0.35%
2018-02-22,1855.07,1854.25,1860.01,1854.03,96.80M,-0.17%
2018-02-21,1858.17,1853.51,1860.43,1852.14,121.20M,0.12%
2018-02-20,1855.99,1855.38,1861.10,1852.96,118.12M,-0.07%
2018-02-19,1857.32,1843.02,1858.23,1841.78,94.71M,1.04%
2018-02-15,1838.28,1840.73,1842.73,1837.99,60.28M,0.18%
2018-02-14,1834.93,1835.65,1837.80,1829.71,95.37M,0.10%
2018-02-13,1833.02,1833.81,1835.17,1830.28,134.76M,0.16%
2018-02-12,1830.17,1825.43,1834.45,1824.89,134.71M,0.57%
2018-02-09,1819.82,1806.81,1824.23,1806.25,164.48M,-1.07%
2018-02-08,1839.44,1837.70,1842.65,1834.83,117.05M,0.15%
2018-02-07,1836.68,1827.11,1841.08,1825.80,213.94M,1.34%
2018-02-06,1812.45,1814.43,1820.37,1795.85,334.63M,-2.19%
2018-02-05,1853.07,1847.85,1857.39,1842.06,173.87M,-0.93%
2018-02-02,1870.48,1875.34,1880.56,1863.43,212.85M,0.10%
2018-01-30,1868.58,1865.35,1872.70,1861.58,160.39M,-0.10%
2018-01-29,1870.52,1855.09,1870.52,1855.09,144.43M,0.90%
2018-01-26,1853.92,1843.95,1853.92,1842.56,123.88M,0.44%
2018-01-25,1845.86,1836.55,1845.86,1836.44,166.67M,0.48%
2018-01-24,1837.04,1838.12,1838.34,1834.49,119.19M,-0.05%
2018-01-23,1838.04,1836.10,1838.04,1830.98,145.43M,0.27%
2018-01-22,1833.15,1835.21,1835.21,1825.86,118.41M,0.24%
2018-01-19,1828.83,1823.39,1828.83,1821.68,153.95M,0.40%
2018-01-18,1821.60,1831.24,1831.32,1821.21,179.85M,-0.38%
2018-01-17,1828.63,1824.55,1828.63,1821.54,135.11M,0.14%
2018-01-16,1826.03,1827.68,1827.68,1818.64,151.67M,0.01%
2018-01-15,1825.91,1825.24,1827.85,1824.56,130.91M,0.18%
2018-01-12,1822.67,1825.01,1825.81,1818.78,159.97M,0.32%
